date,turkcell
2021-12-26,66
2022-01-02,78
2022-01-09,70
2022-01-16,70
2022-01-23,75
2022-01-30,79
2022-02-06,80
2022-02-13,79
2022-02-20,75
2022-02-27,74
2022-03-06,74
2022-03-13,73
2022-03-20,84
2022-03-27,70
2022-04-03,74
2022-04-10,73
2022-04-17,78
2022-04-24,75
2022-05-01,72
2022-05-08,75
2022-05-15,71
2022-05-22,78
2022-05-29,70
2022-06-05,74
2022-06-12,78
2022-06-19,87
2022-06-26,84
2022-07-03,88
2022-07-10,93
2022-07-17,86
2022-07-24,90
2022-07-31,90
2022-08-07,94
2022-08-14,90
2022-08-21,93
2022-08-28,80
2022-09-04,86
2022-09-11,89
2022-09-18,91
2022-09-25,83
2022-10-02,83
2022-10-09,81
2022-10-16,83
2022-10-23,85
2022-10-30,82
2022-11-06,80
2022-11-13,85
2022-11-20,75
2022-11-27,72
2022-12-04,75
2022-12-11,78
2022-12-18,85
2022-12-25,82
2023-01-01,81
2023-01-08,72
2023-01-15,78
2023-01-22,80
2023-01-29,81
2023-02-05,60
2023-02-12,71
2023-02-19,72
2023-02-26,71
2023-03-05,74
2023-03-12,74
2023-03-19,73
2023-03-26,72
2023-04-02,70
2023-04-09,71
2023-04-16,74
2023-04-23,79
2023-04-30,69
2023-05-07,75
2023-05-14,70
2023-05-21,75
2023-05-28,67
2023-06-04,71
2023-06-11,71
2023-06-18,75
2023-06-25,78
2023-07-02,84
2023-07-09,84
2023-07-16,77
2023-07-23,82
2023-07-30,84
2023-08-06,90
2023-08-13,84
2023-08-20,88
2023-08-27,77
2023-09-03,83
2023-09-10,87
2023-09-17,82
2023-09-24,83
2023-10-01,77
2023-10-08,74
2023-10-15,71
2023-10-22,75
2023-10-29,74
2023-11-05,71
2023-11-12,80
2023-11-19,80
2023-11-26,75
2023-12-03,72
2023-12-10,77
2023-12-17,77
2023-12-24,73
2023-12-31,70
2024-01-07,62
2024-01-14,66
2024-01-21,69
2024-01-28,70
2024-02-04,70
2024-02-11,70
2024-02-18,71
2024-02-25,68
2024-03-03,68
2024-03-10,63
2024-03-17,69
2024-03-24,64
2024-03-31,68
2024-04-07,75
2024-04-14,80
2024-04-21,79
2024-04-28,91
2024-05-05,74
2024-05-12,75
2024-05-19,73
2024-05-26,81
2024-06-02,84
2024-06-09,82
2024-06-16,95
2024-06-23,100
2024-06-30,92
2024-07-07,90
2024-07-14,82
2024-07-21,93
2024-07-28,86
2024-08-04,96
2024-08-11,88
2024-08-18,90
2024-08-25,75
2024-09-01,82
2024-09-08,79
2024-09-15,85
2024-09-22,89
2024-09-29,82
2024-10-06,80
2024-10-13,73
2024-10-20,80
2024-10-27,72
2024-11-03,71
2024-11-10,77
2024-11-17,76
2024-11-24,69
2024-12-01,83
2024-12-08,85
2024-12-15,90
2024-12-22,86
2024-12-29,76
2025-01-05,72
2025-01-12,66
2025-01-19,75
2025-01-26,79
2025-02-02,76
2025-02-09,63
2025-02-16,71
2025-02-23,72
2025-03-02,62
2025-03-09,62
2025-03-16,67
2025-03-23,71
2025-03-30,71
2025-04-06,85
2025-04-13,70
2025-04-20,67
2025-04-27,75
2025-05-04,60
2025-05-11,67
2025-05-18,75
2025-05-25,70
2025-06-01,70
2025-06-08,71
2025-06-15,70
2025-06-22,74
2025-06-29,72
